folder,case_id,dice_avg,hd95_avg,dice_class_1,avg_mbps,bits_per_voxel
libaom_av1_crf43,01563,0.8349461305,4.7623109818,0.8349461305,,
libaom_av1_crf43,01419,0.7295619902,8.3227872849,0.7295619902,,
libaom_av1_crf43,01400,0.8518690233,4.6797429562,0.8518690233,,
libaom_av1_crf43,01370,0.8841581407,3.7242422104,0.8841581407,,
libaom_av1_crf43,01535,0.8406774924,5.7173194885,0.8406774924,,
libaom_av1_crf43,01738,0.8340803846,4.1821284294,0.8340803846,,
libaom_av1_crf43,01711,0.7220341421,8.2266048431,0.7220341421,,
libaom_av1_crf43,01618,0.8165364434,5.4513443947,0.8165364434,,
libaom_av1_crf43,01567,0.8061626996,10.0981273651,0.8061626996,,
libaom_av1_crf43,01636,0.8092988265,8.7761211395,0.8092988265,,
